Address,Price,Bathrooms,Bedrooms,Area,Property Type
"Bahria Town Phase 7, Rawalpindi",1 Crore,0,0,337 sqft,commercial
"Wapda Town Phase 1, Lahore",4.6 Crore,5,5,10 marla,residential
"Multi Gardens, B-17, Block-C, Islamabad",90 Lac,0,0,430 sqft,commercial
"Adyala Road, Rawalpindi",95 Lac,2,2,5 marla,residential
"Bahria Town Phase 8-Khalid Block, Rawalpindi",4.25 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Block Ali, Rawalpindi",2.55 Crore,4,5,7 marla,residential
"Adyala Road, Rawalpindi",28 Lac,0,0,56 sqft,commercial
"Johar Town, Lahore",5.9 Crore,5,5,1 kanal,residential
"Bahria Town - Sector E , Lahore",4.75 Crore,4,5,10 marla,residential
"Bahria Town - Sector E , Lahore",1.6 Crore,0,0,400 sqft,commercial
"Bahria Town Phase 8, Sector J, Rawalpindi",3.7 Crore,5,6,10 marla,residential
"Bani Gala, Islamabad",2.8 Crore,3,3,5 marla,residential
"Adyala Road, Rawalpindi",34 Lac,0,0,56 sqft,commercial
"Paragon City - Commercial Broadway, Lahore",5 Crore,0,5,4 marla,commercial
"DHA Phase 3, Islamabad",5 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.1 Crore,5,5,7 marla,residential
"Bahria Enclave, Sector N, Islamabad",4.85 Crore,4,4,10 marla,residential
"Murree Road, Rawalpindi",3.3 Crore,0,0,132 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",4.35 Crore,5,5,10 marla,residential
"Bahria Town Phase 7, Rawalpindi",1.9 Crore,0,0,1010 sqft,commercial
"Adyala Road, Rawalpindi",1.8 Crore,0,0,210 sqft,commercial
"Defence Villas, Rawalpindi",3.85 Crore,3,4,11 marla,residential
"Bahria Town - Sector F, Lahore",1.55 Crore,0,0,385 sqft,commercial
"DHA Phase 2, Sector-F, Islamabad",55 Lac,0,0,300 sqft,commercial
"E-16, Islamabad",29 Lac,0,0,144 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",3.25 Crore,0,2,1122 sqft,commercial
"Peshawar Road, Rawalpindi",3.2 Crore,4,4,7 marla,residential
"DHA Phase 3, Islamabad",5.5 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",9.85 Crore,5,5,1 kanal,residential
"DHA Town Phase 9, Lahore",2.93 Crore,3,4,5 marla,residential
"Phase 8, Bahria Town, Sector A, , Rawalpindi",4.7 Crore,5,6,10 marla,residential
"Park View City, Lahore",1.75 Crore,4,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2 Crore,3,3,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",4.25 Crore,5,5,10 marla,residential
"Lahore Cantt, Lahore",6 Crore,2,3,1900 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",60 Lac,0,0,410 sqft,commercial
"Bani Gala, Islamabad",3.5 Crore,8,7,10 marla,residential
"Bahria Town - Sector E , Lahore",1.95 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.8 Crore,5,5,7 marla,residential
"Bahria Enclave, Islamabad",2.1 Crore,3,2,5 marla,residential
"DHA Phase 2, Islamabad",9.85 Crore,5,5,1 kanal,residential
"LDA Avenue Phase 1, Lahore",5.9 Crore,5,6,1 kanal,residential
"Murree Expressway, Islamabad",1.72 Crore,0,0,384 sqft,commercial
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"Girja Road, Rawalpindi",3.05 Crore,0,0,7 marla,commercial
"Adyala Road, Rawalpindi",1.26 Crore,0,0,5 marla,commercial
"Bahria Town Phase 8, Rawalpindi",72 Lac,0,0,510 sqft,commercial
"Bahria Town - Sector B, Lahore",1.8 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.8 Crore,5,5,7 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Bahria Town Phase 8, Rawalpindi",3.2 Crore,5,5,7 marla,residential
"Bahria Enclave, Islamabad",4.5 Crore,4,4,10 marla,residential
"Johar Town Phase 2 - Block M, Lahore",4 Crore,3,4,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",4.2 Crore,5,5,10 marla,residential
"DHA Phase 2, Islamabad",8 Crore,5,5,1 kanal,residential
"Park View City, Lahore",12.5 Crore,0,0,8 marla,commercial
"F-8 Markaz, Islamabad",2.1 Crore,0,0,350 sqft,commercial
"Bahria Enclave, Islamabad",95 Lac,0,0,250 sqft,commercial
"Wapda Town Phase 1, Lahore",4.35 Crore,5,5,10 marla,residential
"Bahria Town - Sector D, Lahore",1.45 Crore,0,0,375 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.9 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.9 Crore,5,5,7 marla,residential
"Adyala Road, Rawalpindi",60 Lac,0,0,117 sqft,commercial
"Adyala Road, Rawalpindi",65 Lac,0,0,146.75 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.95 Crore,5,5,7 marla,residential
"DHA Phase 2, Islamabad",5.8 Crore,5,5,10 marla,residential
